mmsi,timestamp,lat,lon,speed_knots,heading_deg,vessel_type,vessel_name
419001234,2024-03-15T06:15:00Z,18.25,72.45,14.2,90,Tanker,MV Arabian Star
419001234,2024-03-15T05:45:00Z,18.24,72.39,14.0,88,Tanker,MV Arabian Star
419001234,2024-03-15T05:15:00Z,18.23,72.32,13.8,87,Tanker,MV Arabian Star
419005678,2024-03-15T08:20:00Z,18.70,72.80,11.5,180,Container Ship,MSC Demo
419005678,2024-03-15T07:50:00Z,18.79,72.80,11.7,182,Container Ship,MSC Demo
419005678,2024-03-15T07:20:00Z,18.88,72.81,11.9,181,Container Ship,MSC Demo
419009876,2024-03-15T08:10:00Z,18.30,72.70,8.5,270,Fishing Vessel,IND Fisher
419009876,2024-03-15T07:40:00Z,18.30,72.63,8.2,268,Fishing Vessel,IND Fisher
419009876,2024-03-15T07:10:00Z,18.30,72.56,8.1,270,Fishing Vessel,IND Fisher
419003333,2024-03-15T06:30:00Z,18.28,72.44,13.5,90,Tanker,MV Dark Horizon
419003333,2024-03-15T06:00:00Z,18.28,72.37,13.5,91,Tanker,MV Dark Horizon
419003333,2024-03-15T05:30:00Z,18.27,72.30,13.4,90,Tanker,MV Dark Horizon
419007777,2024-03-15T08:05:00Z,18.10,72.20,6.0,45,Cargo Vessel,Cargo Demo
419007777,2024-03-15T07:35:00Z,18.05,72.15,6.2,46,Cargo Vessel,Cargo Demo
419007777,2024-03-15T07:05:00Z,18.00,72.10,6.1,44,Cargo Vessel,Cargo Demo
419004444,2024-03-15T05:45:00Z,18.90,73.20,15.0,270,Tanker,MV Far Away
419004444,2024-03-15T05:15:00Z,18.90,73.07,15.1,269,Tanker,MV Far Away
419004444,2024-03-15T04:45:00Z,18.90,72.94,15.0,270,Tanker,MV Far Away
